,pre_missing_%,post_missing_%
track_id,74.66,74.66
artist_norm,0.0,0.0
quarter,0.0,0.0
track_norm,0.0,0.0
genre,74.66,0.0
inverse_rank,0.0,0.0
top10,0.0,0.0
peak_position,0.0,0.0
first_week,0.0,0.0
release_q,0.0,0.0
last_week,0.0,0.0
event_time_k,0.0,0.0
weeks_on,0.0,0.0
key,74.66,0.0
mode,74.66,0.0
time_signature,74.66,0.0
artist_popularity,74.66,0.0
acousticness,74.66,0.0
danceability,74.66,0.0
duration_ms,74.66,0.0
energy,74.66,0.0
instrumentalness,74.66,0.0
liveness,74.66,0.0
loudness,74.66,0.0
speechiness,74.66,0.0
tempo,74.66,0.0
valence,74.66,0.0
recession_t,0.0,0.0
