artist_norm,track_norm,peak_position,first_week,last_week,weeks_on,genre,track_id,artist_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,inverse_rank,top10,release_q,recession_t,event_time_k
,when your heart stops beating,89,2006-12-02,2006-12-02,1,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,12,0,2006Q4,0,-4
10 years,wasteland,94,2006-04-01,2006-04-08,2,Alternative,3pO37BXsjMC2wApALxGbuB,60.0,0.000426,0.391,229867.0,0.801,0.000208,F#,0.0662,-5.102,Minor,0.0813,146.729,4/4,0.341,7,0,2006Q2,0,-6
10 years,wasteland,94,2006-04-01,2006-04-08,2,Children’s Music,3pO37BXsjMC2wApALxGbuB,64.0,0.000426,0.391,229867.0,0.801,0.000208,F#,0.0662,-5.102,Minor,0.0813,146.729,4/4,0.341,7,0,2006Q2,0,-6
10 years,wasteland,94,2006-04-01,2006-04-08,2,Rap,3pO37BXsjMC2wApALxGbuB,65.0,0.000426,0.391,229867.0,0.801,0.000208,F#,0.0662,-5.102,Minor,0.0813,146.729,4/4,0.341,7,0,2006Q2,0,-6
10 years,wasteland,94,2006-04-01,2006-04-08,2,Rock,3pO37BXsjMC2wApALxGbuB,65.0,0.000426,0.391,229867.0,0.801,0.000208,F#,0.0662,-5.102,Minor,0.0813,146.729,4/4,0.341,7,0,2006Q2,0,-6
2 pistols featuring tpain tay dizm,she got it,24,2008-03-01,2008-07-12,20,unknown,,60.0,0.0568,0.595,231400.0,0.756,0.0,C,0.132,-5.036,Major,0.0447,124.986,4/4,0.527,77,0,2008Q1,1,1
3 doors down,citizensoldier,96,2008-01-12,2008-01-19,2,Alternative,7fKsaiVDwKe6VVsiGk48YG,47.0,0.0111,0.631,232907.0,0.821,0.0156,G#,0.197,-5.503,Major,0.0343,97.003,4/4,0.486,5,0,2008Q1,1,1
3 doors down,citizensoldier,96,2008-01-12,2008-01-19,2,Children’s Music,7fKsaiVDwKe6VVsiGk48YG,51.0,0.0111,0.631,232907.0,0.821,0.0156,G#,0.197,-5.503,Major,0.0343,97.003,4/4,0.486,5,0,2008Q1,1,1
3 doors down,its not my time,17,2008-03-08,2008-09-20,29,Alternative,0uybt73QFXaLCoxuVf6fhm,58.0,0.00133,0.532,241960.0,0.935,8.37e-06,C,0.106,-4.798,Major,0.0619,128.025,4/4,0.309,84,0,2008Q1,1,1
3 doors down,its not my time,17,2008-03-08,2008-09-20,29,Children’s Music,0uybt73QFXaLCoxuVf6fhm,61.0,0.00133,0.532,241960.0,0.935,8.37e-06,C,0.106,-4.798,Major,0.0619,128.025,4/4,0.309,84,0,2008Q1,1,1
