#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Big Girls Don't Cry (Personal)","Fergie",0,113,"","","The Dutchess",2006-09-13,04:28,71,64,21,0,25,0,0,-4,G,4,2021-11-10,3Q4WeJmzxuDpzMu9QjQqbM,"Will I Am / Fergie LP1",9B,USUM70609115
2,"Girlfriend","Avril Lavigne",76,164,"","","The Best Damn Thing (Expanded Edition)",2007-04-17,03:36,56,96,0,0,67,10,20,-2,G,4,2021-11-10,45hOioMDJktr86iKDHC8gr,"RCA Records Label",9B,USRC10700021
3,"Umbrella","Rihanna, JAY-Z",68,174,"hip hop, east coast hip hop, rap","Hip Hop","Good Girl Gone Bad: Reloaded",2007-03-31,04:35,58,83,1,0,55,10,0,-5,C♯/D♭,4,2021-11-10,5i66xrvSh1MjjyDd6zcwgj,"Def Jam Recordings",3B,USUM70736771
4,"Straight Lines","Silverchair",58,127,"grunge, post-grunge","Rock","Young Modern",2007-03-31,04:18,54,66,3,0,17,0,10,-6,C♯/D♭,4,2021-11-10,5uPO2eBKEdmBT3XtZ76VVa,"Sony Music Entertainment",3B,AUEL00700009
5,"Lips Of An Angel","Hinder",75,129,"post-grunge","Rock","Extreme Behavior",2005-01-01,04:21,48,74,2,0,25,0,20,-5,D,4,2021-11-10,40LQiUUUKXVGyNs09lHVjW,"Universal Records",10B,USUM70503185
6,"Apologize","Timbaland, OneRepublic",74,118,"soft pop","Pop","Shock Value",2007-04-02,03:04,65,60,3,0,10,0,10,-6,G#/A♭,4,2021-11-10,6ucR4KfvsBFWCMVFDvyKKl,"Interscope/Blackground Records",4B,USUM70722793
7,"Grace Kelly","MIKA",71,122,"","","Life In Cartoon Motion",2006-01-01,03:07,68,83,2,1,67,0,30,-6,C,4,2021-11-10,2SDx0PooHZI1SQKR0y44bs,"Universal-Island Records Ltd.",8B,USC7R0600006
8,"Candyman","Christina Aguilera",64,173,"","","Back To Basics",2006-08-14,03:14,69,79,1,1,72,20,10,-5,G#/A♭ minor,4,2021-11-10,5lUTzPuiloBHm1qEaJcJfF,"RCA Records Label",1A,USRC10600413
9,"The Sweet Escape","Gwen Stefani, Akon",70,120,"","","The Sweet Escape",2006-12-01,04:06,76,77,19,0,73,0,10,-4,C♯/D♭,4,2021-11-10,5BHtT1xpC44pGy1J7RKY4T,"Interscope",3B,USUM70618684
10,"Beautiful Girls","Sean Kingston",79,130,"","","Beautiful Girls",2007-07-23,03:45,76,66,15,0,77,0,20,-6,C♯/D♭ minor,4,2021-11-10,1hGy2eLcmC8eKx7qr1tOqx,"Epic",12A,USSM10701781
