#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Somebody That I Used To Know","Gotye, Kimbra",76,129,"","","Making Mirrors",2011-01-01,04:04,86,50,59,0,72,0,10,-7,C,4,2019-09-18,4wCmqSrbyCgxEXROQE6vtV,"Samples & Seconds / Republic",8B,AUZS21100040
2,"Call Me Maybe","Carly Rae Jepsen",2,120,"","","Kiss (Deluxe)",2012-09-18,03:13,78,57,1,0,66,0,10,-7,G,4,2024-08-11,38DgNqC7TQkZ3Ih5Vz6K0Q,"604 Records Inc.",9B,CAB391100615
3,"We Are Young (feat. Janelle Monáe)","fun., Janelle Monáe",79,184,"alternative r&b","Pop, R&B","Some Nights",2012-02-14,04:10,38,64,2,0,74,0,0,-6,A#/B♭,4,2019-09-18,5rgy6ghBq1eRApCkeUdJXf,"Fueled By Ramen",6B,USAT21101399
4,"Payphone","Maroon 5, Wiz Khalifa",73,110,"pop, rap","Pop, Hip Hop","Overexposed (Deluxe)",2012-01-01,03:51,74,76,1,0,52,0,30,-5,E,4,2019-09-18,4P0osvTXoSYZZC2n8IFH3c,"Interscope Records*",12B,USUM71203347
5,"Lights - Single Version","Ellie Goulding",43,120,"","","Halcyon Days",2013-01-01,03:30,68,80,3,5,74,0,10,-6,G#/A♭ minor,4,2024-08-11,44906V2WC6k59u06A8CO9D,"Polydor Records",1A,GBUM71028043
6,"Glad You Came","The Wanted",37,127,"","","The Wanted",2012-01-01,03:18,61,84,6,0,43,0,10,-5,G minor,4,2019-09-18,0dw7G0QDuW7UwyL0boHKMU,"Universal-Island Records Ltd.",6A,GBUM71107952
7,"Stronger (What Doesn't Kill You)","Kelly Clarkson",74,116,"christmas","Pop","Stronger (Deluxe Version)",2011-10-24,03:41,56,94,5,0,68,0,10,-4,C,4,2019-09-18,1nInOsHbtotAmEOQhtvnzP,"RCA Records Label",8B,GBCTA1100364
8,"We Found Love","Rihanna, Calvin Harris",23,128,"edm","Electronic","Talk That Talk (Deluxe Explicit)",2011-01-01,03:35,74,77,3,0,60,0,10,-4,C♯/D♭,4,2024-08-11,6cZqFT5RanA70lmN9wuWzB,"Def Jam Recordings",3B,USUM71115507
9,"Starships","Nicki Minaj",46,125,"","","Pink Friday ... Roman Reloaded (Deluxe Edition)",2012-04-03,03:30,75,73,15,0,72,0,20,-2,B minor,4,2024-08-11,1UgW0l9aia2l4SjQSGwF2q,"Nicki Minaj/Cash Money",10A,USCM51200060
10,"What Makes You Beautiful","One Direction",84,125,"","","Up All Night",2012-05-25,03:19,73,79,1,0,89,0,0,-2,E,4,2024-08-11,4cluDES4hQEUhmXj6TXkSo,"Syco Music UK",12B,GBHMU1100018
