#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Love The Way You Lie","Eminem, Rihanna",86,87,"rap, hip hop","Hip Hop","Recovery",2010-06-18,04:23,75,93,24,0,64,20,50,-5,A#/B♭,4,2022-02-14,15JINEqzVMv3SvJTAXAKED,"Eminem Catalog PS",6B,USUM71015397
2,"OMG (feat. will.i.am)","USHER, will.i.am",77,130,"r&b","R&B","Raymond v Raymond (Expanded Edition)",2010-03-30,04:29,78,75,20,0,33,0,30,-6,E minor,4,2022-02-14,1bM50INir8voAkVoKuvEUI,"LaFace Records",9A,USLF20900103
3,"Dynamite","Taio Cruz",74,120,"","","The Rokstarr Hits Collection",2010-01-01,03:22,75,78,0,0,81,0,0,-4,E,4,2022-02-14,2CEgGE6aESpnmtfiZwYlbV,"Universal-Island Records Ltd.",12B,GBUM71003721
4,"Hey, Soul Sister","Train",81,97,"soft pop","Pop","Save Me, San Francisco (Golden Gate Edition)",2010-12-01,03:36,67,89,19,0,80,0,0,-4,C♯/D♭ minor,4,2022-02-14,4HlFJV71xXKIGcU3kRyttv,"Columbia",12A,USSM10904113
5,"California Gurls","Katy Perry, Snoop Dogg",74,125,"pop, g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap","Hip Hop, R&B, Pop","Teenage Dream: The Complete Confection",2012-03-12,03:54,79,76,0,0,43,0,10,-4,C,4,2022-02-14,6tS3XVuOyu10897O3ae7bi,"Capitol Records",8B,USCA21001135
6,"Fireflies","Owl City",78,180,"","","Ocean Eyes",2009-01-01,03:48,51,66,3,0,47,0,10,-7,D#/E♭,4,2022-02-14,3DamFFqW32WihKkTVlwTYQ,"Universal Records",5B,USUM70972068
7,"Only Girl (In The World)","Rihanna",74,126,"","","Loud",2010-11-16,03:55,79,72,13,0,61,0,0,-4,B minor,4,2022-02-14,0AH6WMe3OlAlUb5miXt2FQ,"Def Jam Recordings",10A,USUM71023200
8,"Just the Way You Are","Bruno Mars",85,109,"","","Doo-Wops & Hooligans",2010-05-11,03:40,64,84,1,0,42,0,0,-5,F,4,2022-02-14,7BqBn9nzAq8spo5e7cZ0dJ,"Atlantic Records",7B,USAT21001269
9,"Teenage Dream","Katy Perry",68,120,"pop","Pop","Teenage Dream",2010-08-24,03:47,72,80,2,0,59,0,10,-5,A#/B♭,4,2022-02-14,235LXPXfi0SmOaS9TaCh3c,"Capitol Records",6B,USCA21001255
10,"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER, Pitbull",84,120,"r&b","R&B","Raymond v Raymond (Expanded Edition)",2010-03-30,03:40,66,86,3,0,65,10,0,-3,G minor,4,2022-02-14,4356Typ82hUiFAynbLYbPn,"LaFace Records",6A,USLF21000041
11,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B, Hayley Williams",78,93,"art pop","Pop","B.o.B Presents: The Adventures of Bobby Ray",2010-04-27,03:00,66,87,11,0,38,10,0,-4,F#/G♭ minor,4,2022-02-14,6lV2MSQmRIkycDScNtrBXO,"Rebel Rock/Grand Hustle/Atlantic",11A,USAT21000477
12,"TiK ToK","Kesha",84,120,"","","Animal (Expanded Edition)",2010-01-01,03:19,76,84,10,0,71,10,20,-3,D minor,4,2022-02-14,0HPD5WQqrq7wPWR7P7Dw1i,"RCA Records Label",7A,USRC10900433
13,"In My Head","Jason Derulo",69,110,"","","Jason Derulo (International)",2010-02-26,03:19,76,75,3,0,85,0,30,-4,C minor,4,2022-02-14,6St9lR6dhV2tpCNVz7qfrS,"Beluga Heights/Warner Records",5A,USWB10904633
14,"I Like It","Enrique Iglesias, Pitbull",74,129,"latin pop, latin","Latin, Pop","Euphoria",2010-00-00,03:51,65,94,2,0,73,0,0,-3,A#/B♭ minor,4,2022-02-14,7HacCTm33hZYYN8DXpCYuG,"Universal Music Group International",3A,GBUM71003038
15,"Replay","Iyaz",80,91,"","","Replay",2009-08-18,03:02,71,75,17,0,20,0,10,-6,A,4,2022-02-14,4E5P1XyAFtrjpiIxkydly4,"Time Is Money/Beluga Heights/Reprise",11B,USRE10901161
16,"Just A Dream","Nelly",78,90,"","","5.0",2010-11-12,03:57,53,75,4,0,10,0,10,-6,C♯/D♭,4,2022-02-14,3ZdJffjzJWFimSQyxgGIxN,"Motown",3B,USUM71020948
17,"Raise Your Glass","P!nk",76,122,"","","Raise Your Glass",2010-10-05,03:22,70,71,0,0,62,0,0,-5,G,4,2022-02-14,1gv4xPanImH17bKZ9rOveR,"LaFace Records",9B,USLF21000090
18,"Club Can't Handle Me (feat. David Guetta)","Flo Rida, David Guetta",81,128,"edm","Electronic","Only One Flo (Part 1)",2010-11-24,03:54,62,87,3,0,47,0,0,-4,C,4,2022-02-14,6ebkx7Q5tTxrCxKq4GYj0Y,"Poe Boy/Atlantic",8B,USAT21001281
19,"Empire State Of Mind","JAY-Z, Alicia Keys",85,174,"hip hop, east coast hip hop, rap, r&b, neo soul","Hip Hop, R&B","The Blueprint 3",2009-09-08,04:36,49,96,3,0,81,30,40,-2,B,4,2022-02-14,2igwFfvr1OAGX9SKDCPBwO,"Roc Nation / Jay-Z",1B,USJZ10900031
20,"Telephone","Lady Gaga, Beyoncé",79,122,"art pop, pop","Pop","The Fame Monster (Deluxe Edition)",2009-08-05,03:40,83,83,1,0,71,0,10,-6,F minor,4,2022-02-14,7rl7ao5pb9BhvAzPdWStxi,"Interscope",4A,USUM70905541
21,"Cooler Than Me - Single Mix","Mike Posner, Gigamesh",76,130,"nu disco, french house, indie dance","Electronic, Pop","31 Minutes to Takeoff",2010-08-09,03:33,77,82,18,0,63,0,60,-5,G minor,4,2022-02-14,2V4bv1fNWfTcyRJKmej6Sj,"J Records",6A,USJAY1000035
22,"Not Afraid","Eminem",79,115,"rap, hip hop","Hip Hop","Recovery",2010-06-18,04:08,86,95,53,0,67,20,20,-1,C minor,5,2022-02-14,7Ie9W94M7OjPoZVV216Xus,"Eminem Catalog PS",5A,USUM71011769
23,"Fuck You","CeeLo Green",6,127,"","","Get Ur Freak On!",2021-03-19,03:43,69,84,19,0,75,0,10,-6,C,4,2022-02-14,1hMCanZ2H3SX7pYjjigtzv,"Warner Music Group - X5 Music Group",8B,USAT21001785
24,"Firework","Katy Perry",69,124,"pop","Pop","Teenage Dream",2010-08-24,03:47,64,83,14,0,65,0,10,-5,G#/A♭,4,2022-02-14,1mXuMM6zjPgjL4asbBsgnt,"Capitol Records",4B,USCA21001262
25,"We R Who We R","Kesha",75,120,"","","Cannibal (Expanded Edition)",2010-11-19,03:24,74,82,1,0,65,0,10,-5,G#/A♭,4,2022-02-14,3LUWWox8YYykohBbHUrrxd,"RCA Records Label",4B,USRC11000862
26,"Bad Romance","Lady Gaga",85,119,"art pop, pop","Pop","The Fame Monster (Deluxe Edition)",2009-11-05,04:54,70,92,0,0,71,0,0,-4,C,4,2022-02-14,0SiywuOBRcynK0uKGWdCnn,"Interscope",8B,USUM70918596
27,"Like A G6","Far East Movement, The Cataracs, DEV",75,165,"","","Free Wired",2010-01-01,03:36,36,84,1,0,78,40,10,-8,G minor,5,2022-02-14,5AyL2kgLtTWEu3qO3B9SqK,"Interscope",6A,USUM71008138
28,"The Time (Dirty Bit)","Black Eyed Peas",72,128,"","","The Beginning (Deluxe)",2010-01-01,05:07,82,81,7,0,44,0,60,-8,F#/G♭ minor,4,2022-02-14,7vWFaMq63AwkFDhS2OAg5u,"A&M",11A,USUM71026190
29,"Memories (feat. Kid Cudi)","David Guetta, Kid Cudi",63,130,"edm","Electronic","One More Love",2010-11-22,03:30,55,92,0,0,38,20,20,-4,G#/A♭,4,2022-02-14,5xYC48nOppVemY6U5GRGTb,"Parlophone (France)",4B,FRZID0900480
30,"Billionaire (feat. Bruno Mars)","Travie McCoy, Bruno Mars",70,87,"","","Billionaire (feat. Bruno Mars)",2010-03-09,03:31,63,67,30,0,66,20,20,-6,F#/G♭ minor,4,2022-02-14,2M9ULmQwTaTGmAdXaXpfz5,"Decaydance/Fueled By Ramen",11A,USAT21000257
31,"Break Your Heart","Taio Cruz",69,122,"","","The Rokstarr Hits Collection",2010-01-01,03:21,61,93,3,0,57,0,0,-4,D#/E♭,4,2022-02-14,7ElF5zxOwYP4qVSWVvse3W,"Universal-Island Records Ltd.",5B,GBUM70908662
32,"Grenade","Bruno Mars",78,110,"","","Doo-Wops & Hooligans",2010-05-11,03:42,70,56,15,0,25,0,10,-7,D minor,4,2022-02-14,2tJulUYLDKOg9XrtVkMgcJ,"Atlantic Records",7A,USAT21001883
33,"Rude Boy","Rihanna",79,174,"","","Rated R",2009-11-20,03:42,56,75,11,0,81,10,0,-4,B,4,2022-02-14,60jzFy6Nn4M0iD1d94oteF,"Def Jam Recordings",1B,USUM70912459
34,"We No Speak Americano","Yolanda Be Cool, DCup",39,125,"","","We No Speak Americano",2020-12-04,04:29,87,69,3,30,47,0,10,-5,D#/E♭ minor,4,2022-02-14,3AREjWC7vWQHlbW9RSKXkK,"Sweat It Out!",2A,AUCN30901316
35,"Baby","Justin Bieber, Ludacris",83,65,"southern hip hop","Hip Hop","My World 2.0",2010-01-01,03:34,73,86,4,0,54,10,10,-5,F minor,4,2022-02-14,6epn3r7S14KUqlReYr77hA,"RBMG/Def Jam",4A,USUM70919263
36,"If I Had You","Adam Lambert",56,131,"","","For Your Entertainment",2009-11-23,03:48,65,91,1,0,79,10,30,-4,E minor,4,2022-02-14,0H1OyEooZ5SzBYYdJEzxoy,"RCA Records Label",9A,GBCTA0900403
37,"I Like That","Richard Vission & Static Revenger Starring Luciana",48,129,"","","I Like That",2009-01-01,02:22,94,84,0,1,63,10,10,-6,E minor,4,2022-02-14,4t1mBrcg673UWwxTCMXTyH,"Universal Music Australia Pty. Ltd.",9A,AUVC00927631
38,"Ridin' Solo","Jason Derulo",67,89,"","","Jason Derulo (International)",2010-02-26,03:35,44,83,13,0,58,10,10,-4,A,4,2022-02-14,6OEolOOk9Gh9bqkdpfIOl0,"Beluga Heights/Warner Records",11B,USWB10905329
39,"Gettin' Over You (feat. Fergie & LMFAO)","David Guetta, Chris Willis, Fergie, LMFAO",42,130,"edm","Electronic","One More Love",2010-11-22,03:08,62,91,18,0,45,0,0,-5,A#/B♭ minor,4,2022-02-14,0V7QchMrfTCk3gf0iAtl2R,"Parlophone (France)",3A,FRZID1000210
40,"Whataya Want from Me","Adam Lambert",61,186,"","","For Your Entertainment",2009-11-23,03:47,44,68,1,0,45,0,0,-5,B minor,4,2022-02-14,2rDwdvBma1O1eLzo29p2cr,"RCA Records Label",10A,GBCTA0900344
41,"Blah Blah Blah (feat. 3OH!3)","Kesha, 3OH!3",67,120,"","","Animal (Expanded Edition)",2010-01-01,02:52,75,84,8,0,52,10,40,-3,A#/B♭,4,2022-02-14,7lWUJpax919G4JdaFEVmCy,"RCA Records Label",6B,USRC10900738
