#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Bad Day","Daniel Powter",76,140,"","","Daniel Powter",2005-02-22,03:53,60,79,45,0,52,0,10,-4,D#/E♭,4,2019-07-28,0mUyMawtxj1CJ76kn9gIZK,"Warner Records",5B,USWB10401971
2,"Temperature","Sean Paul",83,125,"dancehall","Reggae","The Trinity",2005-09-27,03:36,95,60,11,0,82,0,0,-5,C minor,4,2019-07-28,0k2GOhqsrxDTAbFFSdNJjT,"VP Records",5A,USAT20505520
3,"Promiscuous","Nelly Furtado, Timbaland",87,114,"","","Loose",2006-01-01,04:02,81,97,6,0,87,0,10,-6,A#/B♭ minor,4,2024-08-22,2gam98EZKrF9XuOkU13ApN,"Mosley / Geffen",3A,USUM70603473
4,"You're Beautiful","James Blunt",63,82,"","","Back to Bedlam",2005-10-04,03:29,68,48,63,0,45,0,0,-10,C minor,4,2019-07-28,5pbajJXEPdcoXQPXoAVR1t,"Atlantic Records",5A,USAT20401588
5,"Hips Don't Lie (feat. Wyclef Jean)","Shakira, Wyclef Jean",36,100,"latin pop","Latin, Pop","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,03:38,78,82,28,0,76,0,40,-6,A#/B♭ minor,4,2019-07-28,3ZFTkvIE7kyPt6Nu3PEa7V,"Epic",3A,USSM10600677
6,"Unwritten","Natasha Bedingfield",85,100,"","","Unwritten",2004-08-30,04:19,71,80,1,0,63,0,0,-6,F,4,2024-07-01,3U5JVgI2x4rDyHGObzJfNf,"Sony Music CG",7B,GBARL0400707
7,"Crazy","Gnarls Barkley, CeeLo Green, Danger Mouse",76,112,"","","St. Elsewhere",2006-00-00,03:02,84,74,2,6,61,0,0,-2,G#/A♭,4,2024-08-22,6o1l9I0faXJN2iqulHrdCQ,"Downtown/Atlantic",4B,USAT20611041
8,"Ridin'","Chamillionaire, Krayzie Bone",69,143,"southern hip hop","Hip Hop","The Sound of Revenge",2005-01-01,05:03,79,80,19,0,84,10,30,-5,G#/A♭ minor,4,2019-07-28,3kZoay4ANo86ehb6s4RwS9,"Universal/Chamillitary",1A,USUM70503088
9,"SexyBack (feat. Timbaland)","Justin Timberlake, Timbaland",85,117,"","","FutureSex/LoveSounds",2006-09-12,04:02,97,58,6,0,96,0,0,-6,G minor,4,2020-04-06,0O45fw2L5vsWpdsOdXwNAR,"Jive",6A,USJI10600269
10,"Check On It","Beyoncé, Slim Thug",37,166,"southern hip hop, crunk","Hip Hop","#1's",2005-10-25,03:30,70,89,7,0,89,20,30,-4,G,4,2019-07-28,79qyhvLo7r5yMopws8Knrn,"Sony Urban Music/Columbia",9B,USSM10505439
11,"Be Without You - Kendu Mix","Mary J. Blige",69,147,"r&b","R&B","The Breakthrough",2005-01-01,04:06,73,70,7,0,67,10,20,-6,D minor,4,2024-08-22,6Y3WvyUG9iE5bQYg38SPtQ,"Geffen*",7A,USUM70505512
12,"Grillz","Nelly, Paul Wall, Ali & Gipp",57,83,"southern hip hop, crunk","Hip Hop","Sweatsuit",2005-11-25,04:31,86,52,4,0,84,20,30,-7,E minor,4,2019-07-28,0Aqlt4N5h6rUtKnd09VXpr,"Motown",9A,USUM70505024
13,"Over My Head (Cable Car)","The Fray",75,116,"","","How To Save A Life",2005-09-13,03:56,59,73,2,0,71,0,0,-4,G#/A♭,4,2024-08-22,1N62wozuHCvczCkY4QidpP,"Epic",4B,USSM10502369
14,"Me & U","Cassie",79,100,"","","Cassie (U.S. Version)",2006-08-07,03:12,80,45,35,0,74,0,0,-5,G#/A♭ minor,4,2019-07-28,7k6IzwMGpxnRghE7YosnXT,"Bad Boy Records",1A,USBB40610361
15,"Buttons - Featuring Big Snoop Dogg","The Pussycat Dolls, Snoop Dogg",43,211,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap","Hip Hop, R&B","Buttons",2006-01-01,03:51,52,81,19,0,53,30,30,-5,D,4,2019-07-28,2ICylmg7jCYdOWUFNa8VW7,"Pussycat Dolls",10B,USUM70601818
16,"Run It! (feat. Juelz Santana)","Chris Brown, Juelz Santana",77,101,"r&b","R&B","Chris Brown (Expanded Edition)",2005-00-00,03:49,85,48,2,0,21,10,30,-7,C♯/D♭ minor,4,2019-07-28,7xYnUQigPoIDAMPVK79NEq,"Jive",12A,USJI10500482
17,"So Sick","Ne-Yo",80,93,"","","In My Own Words",2006-01-01,03:27,45,57,25,0,58,30,10,-8,F#/G♭,4,2019-07-28,6brl7bwOHmGFkNw3MBqssT,"Def Soul",2B,USUM70501633
18,"It's Goin' Down (feat. Nitti)","Yung Joc, NITTI",67,84,"crunk, southern hip hop, east coast hip hop","Hip Hop","New Joc City",2006-06-06,04:01,89,58,10,0,61,0,10,-8,C♯/D♭ minor,4,2019-07-28,05Sgj1Hx03ZXc57gsV1kfX,"Bad Boy Records",12A,USBB40610080
19,"SOS","Rihanna",79,137,"","","A Girl Like Me",2006-04-10,03:58,68,67,0,0,53,0,40,-5,G,4,2019-07-28,30cSNer6TV8x2utjULVeQ5,"Def Jam Recordings",9B,USUM70507379
20,"I Write Sins Not Tragedies","Panic! At The Disco",58,170,"emo","Rock","A Fever You Can't Sweat Out",2005-09-27,03:05,57,82,7,0,67,10,10,-4,A minor,4,2019-07-28,4948g5UqwZFLGI8UTOXqdi,"Fueled By Ramen/ADA",8A,US56V0507710
21,"Move Along","The All-American Rejects",71,110,"pop punk, emo","Rock, Pop","Move Along",2005-01-01,03:58,52,92,0,0,65,0,20,-4,D#/E♭,4,2019-07-28,2l57cfmCnOkwNX1tky02n1,"Interscope",5B,USDW10500125
22,"London Bridge","Fergie",66,91,"","","The Dutchess",2006-09-13,04:01,77,61,21,0,63,30,10,-6,C♯/D♭,4,2024-08-22,7jRoWfRlLnGYEIEn4t4kbq,"Will I Am / Fergie LP1",3B,USUM70609276
23,"Dani California","Red Hot Chili Peppers",79,96,"funk rock, alternative rock, rock","Rock, R&B","Stadium Arcadium",2006-05-09,04:42,56,91,2,0,73,0,30,-2,C,4,2024-08-22,10Nmj3JCNoMeBQ87uw5j8k,"Warner Records",8B,USWB10600700
24,"Snap Yo Fingers","Lil Jon, E-40, Sean Paul",68,82,"crunk, hyphy, west coast hip hop, g-funk","Hip Hop, R&B","Snap Yo Fingers - Single",2006-05-02,04:34,84,76,1,0,63,20,20,-5,G#/A♭ minor,4,2019-07-28,6o3s08kk2fQI37vxGZDrJ1,"The Orchard",1A,USTV10600013
25,"Lean Wit It, Rock Wit It","Dem Franchize Boyz, Peanut, Charlay",58,76,"crunk, southern hip hop","Hip Hop","On Top Of Our Game",2006-02-07,03:49,89,62,8,0,60,30,10,-6,F,4,2019-07-28,7cVmKBwzPsh4Fmb6SplfEm,"Virgin Records",7B,USVI20500536
26,"What Hurts The Most","Rascal Flatts",70,136,"country","Country","Me And My Gang",2006-11-13,03:34,54,67,1,0,33,0,20,-5,F minor,4,2019-07-28,4bVuIlGQBMWS7vIhcx8Ae4,"Lyric Street",4A,USL2S0520197
27,"How to Save a Life","The Fray",84,122,"","","How To Save A Life",2005-09-13,04:22,64,74,27,0,36,0,10,-4,A#/B♭,4,2019-07-28,5fVZC9GiM4e8vu99W0Xf6J,"Epic",6B,USSM10601178
28,"Unfaithful","Rihanna",72,144,"","","A Girl Like Me",2006-04-10,03:46,59,39,84,0,35,0,20,-9,C minor,4,2019-07-28,13xxBnXOuiBxVxJI458B0i,"Def Jam Recordings",5A,USUM70601995
29,"Chasing Cars","Snow Patrol",83,104,"","","Eyes Open",2006-01-01,04:27,56,60,20,0,14,0,10,-5,A,4,2024-08-22,5hnyJvgoWiQUYZttV4wXy6,"Polydor Records",11B,GBUM70600345
30,"Lips Of An Angel","Hinder",75,129,"post-grunge","Rock","Extreme Behavior",2005-01-01,04:21,48,74,2,0,25,0,20,-5,D,4,2019-07-28,40LQiUUUKXVGyNs09lHVjW,"Universal Records",10B,USUM70503185
31,"Everytime We Touch","Cascada",52,142,"europop, eurodance","Electronic, Pop","Everytime We Touch",2006-04-04,03:16,63,98,0,0,45,0,40,-5,G#/A♭,4,2019-07-28,2iA1MTr7YGg2lSu7XISiJR,"EMI Music Canada",4B,CAAB80500125
32,"Ain't No Other Man","Christina Aguilera",61,128,"","","Back To Basics",2006-08-14,03:48,86,74,0,1,51,20,10,-5,G,4,2024-08-22,7huo2wvrCgRucUsjdSDLQV,"RCA Records Label",9B,USRC10600321
33,"Dance, Dance","Fall Out Boy",77,114,"emo, pop punk","Rock, Pop","From Under The Cork Tree",2005-05-03,03:00,62,96,1,0,45,10,0,-3,B minor,4,2019-07-28,0a7BloCiNzLDD9qSQHh5m7,"Island Records",10A,USDJ20500174
34,"Gold Digger","Kanye West, Jamie Foxx",80,93,"rap","Hip Hop","Late Registration",2005-08-30,03:27,63,70,2,0,62,30,0,-6,C♯/D♭ minor,4,2019-07-28,1PS1QMdUqOal0ai3Gt7sDQ,"Roc-A-Fella",12A,USUM70500143
35,"Money Maker","Ludacris, Pharrell Williams",59,79,"southern hip hop","Hip Hop","Release Therapy",2006-01-01,03:50,55,60,15,0,61,20,30,-7,C♯/D♭,4,2024-08-22,2JpUkUR0OsOlUUfm6iS8ic,"Disturbing Tha Peace Recordings, Inc.",3B,USUM70605316
36,"Ms. New Booty","Bubba Sparxxx, Ying Yang Twins, Mr. Collipark",60,129,"country hip hop, southern hip hop, crunk","Country, Hip Hop","Ms. New Booty",2005-01-01,04:12,64,62,2,0,61,40,0,-6,C♯/D♭,5,2019-07-28,0k6HUzaRHpQ3eEWr1C7Esh,"Virgin Records",3B,USVI20500657
37,"(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version","Sean Paul, Keyshia Cole",76,96,"dancehall, r&b","Reggae, R&B","(When You Gonna) Give It up to Me (feat. Keyshia Cole)",2006-09-30,04:03,71,76,7,0,72,20,0,-3,G#/A♭,4,2019-07-28,5nEdwtSv0qqeE0l4o1lR4q,"VP Records",4B,USAT20615165
38,"Photograph","Nickelback",66,146,"post-grunge, rock","Rock","All the Right Reasons",2005-09-26,04:18,52,88,0,0,39,0,10,-4,G#/A♭,4,2024-08-22,3hb2ScEVkGchcAQqrPLP0R,"Roadrunner Records",4B,NLA320581256
39,"Because of You","Kelly Clarkson",67,140,"christmas","Pop","Breakaway",2004-01-17,03:39,58,58,25,0,14,0,10,-5,F minor,4,2024-07-01,3f3omU8n47Mqyab5nCaGyT,"RCA Records Label",4A,GBCTA0400265
40,"Stickwitu","The Pussycat Dolls",60,80,"","","PCD",2005-01-01,03:27,65,54,27,0,43,0,0,-6,A,4,2024-07-01,4NjR63Up0uMkQBlKvlZd1l,"Pussycat Dolls",11B,USUM70503127
41,"I'm N Luv (Wit a Stripper) (feat. Mike Jones)","T-Pain, Mike Jones",68,145,"southern hip hop, crunk","Hip Hop","Rappa Ternt Sanga (Expanded Edition)",2005-12-06,03:59,74,37,1,0,47,0,10,-10,G#/A♭,4,2024-07-01,2QurCbkPO14pjrikPNja0h,"Jive/Legacy",4B,USJI10500770
42,"My Humps","Black Eyed Peas",5,124,"","","Monkey Business",2005-01-01,05:26,80,68,11,0,59,20,10,-6,C♯/D♭ minor,4,2024-08-22,19JdbdEwQI7bCxefMokZO8,"A&M",12A,USIR10500771
43,"Where'd You Go (feat. Holly Brook & Jonah Matranga)","Fort Minor, Holly Brook, Jonah Matranga",63,180,"rap rock","Hip Hop, Rock","The Rising Tied (Deluxe Edition)",2005-00-00,03:51,68,82,26,0,26,20,10,-3,C♯/D♭ minor,4,2024-08-22,1GHqc0e7PQ6aEyGlvfSJzS,"Machine Shop/Warner Records",12A,USWB10504785
44,"Yo (Excuse Me Miss)","Chris Brown",74,87,"r&b","R&B","Chris Brown (Expanded Edition)",2005-00-00,03:49,54,61,12,0,57,20,20,-6,E,4,2024-07-01,7DFnq8FYhHMCylykf6ZCxA,"Jive",12B,USJI10500654
45,"Walk Away","Kelly Clarkson",48,116,"christmas","Pop","Breakaway",2004-01-17,03:09,75,89,1,0,94,0,0,-5,C,4,2024-07-01,25sA1vM4BFkTb5cJGWftFo,"RCA Records Label",8B,GBCTA0400266
46,"Laffy Taffy","D4L",67,77,"crunk, southern hip hop","Hip Hop","Down for Life",2005-11-08,03:44,89,44,4,0,62,40,0,-8,G minor,4,2024-07-01,2ajhenDRiiAnCHHjsIOHhJ,"Atlantic Records/Asylum",6A,USEA20520540
47,"What You Know","T.I.",66,73,"southern hip hop","Hip Hop","King",2006-03-26,04:34,55,81,2,0,33,0,10,-4,B,4,2019-07-28,0CAJdthKDdRjB2h8YOguN6,"Grand Hustle, LLC",1B,USAT20610124
48,"Dirty Little Secret","The All-American Rejects",74,144,"pop punk, emo","Rock, Pop","Move Along",2005-01-01,03:13,47,95,0,0,46,0,50,-4,A#/B♭,4,2019-07-28,5lDriBxJd22IhOH9zTcFrV,"Interscope",6B,USDW10500128
49,"Savin' Me","Nickelback",66,164,"post-grunge, rock","Rock","All the Right Reasons",2005-09-26,03:39,44,82,0,0,52,0,40,-4,D#/E♭,4,2024-08-22,4Gd9PUEuOTOJtbgd4YxLXM,"Roadrunner Records",5B,NLA320581344
50,"Don't Forget About Us","Mariah Carey",61,144,"christmas","Pop","The Emancipation Of Mimi (Ultra Platinum Edition)",2005-04-12,03:53,70,54,5,0,43,0,10,-7,A#/B♭ minor,4,2024-07-01,1HkVSmzBbdZ5Bzdd00IZgh,"Def Jam Recordings",3A,USUM70504581
51,"Sexy Love","Ne-Yo",72,94,"","","In My Own Words",2006-01-01,03:40,69,51,30,0,49,0,0,-6,G#/A♭,4,2019-07-29,10aWGOqSDBqvNzJ9NeKDbK,"Def Soul",4B,USUM70600316
