Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0vg4WnUWvze6pBOJDTq99k,"You're Beautiful","Back to Bedlam","James Blunt",2005-08-08,209493,76,true,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"","Custard/Atlantic",0.675,0.479,0,-9.87,0,0.0278,0.633,0.0000176,0.088,0.454,81.998,4
spotify:track:0U87auHx1iZTEFcq9KVdmO,"Boulevard of Broken Dreams","American Idiot (20th Anniversary Deluxe Edition)","Green Day",2024-10-25,260936,80,true,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"punk,pop punk","Reprise",0.51,0.578,8,-8.079,1,0.0275,0.0042,0.0000173,0.0417,0.612,166.99,4
spotify:track:4UC4H4vX3bJtcgtKR0ZCFJ,"Obsesion (No Es Amor) (feat. Baby Bash)","The One","Frankie J;Baby Bash",2003,225626,56,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"","Columbia",0.649,0.503,8,-8.321,1,0.047,0.0939,0,0.303,0.538,75.037,4
spotify:track:0eqH0ALoDQevq59YcQ53KE,"Hollaback Girl","Love. Angel. Music. Baby.","Gwen Stefani",2004-11-12,199853,72,true,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"","Interscope",0.926,0.916,10,-2.221,0,0.0929,0.35,0.00000601,0.0234,0.904,110.009,4
spotify:track:6rT0BKAbg4y35tukHcfk4N,"Untitled (How Could This Happen to Me?)","Still Not Getting Any...","Simple Plan",2004-10-25,239813,60,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"pop punk,punk,emo","143/Atlantic Entertainment",0.208,0.342,6,-8.702,1,0.0327,0.875,0.000003,0.0908,0.135,186.162,4
spotify:track:3ZffCQKLFLUvYM59XKLbVm,"Wake Me up When September Ends","American Idiot","Green Day",2004-09-21,285653,81,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"punk,pop punk","Reprise",0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4
spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West;Jamie Foxx",2005-08-30,207626,80,true,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
spotify:track:4EI8VuxUuIHKfafU72emqz,"We Belong Together","The Emancipation of Mimi","Mariah Carey",2005,201400,78,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"christmas","Def Jam Recordings",0.84,0.476,0,-7.918,1,0.0629,0.0264,0,0.0865,0.767,139.987,4
spotify:track:0gJvqi9QyASOCtJu99tytc,"Because of You","Breakaway","Kelly Clarkson",2004,219493,74,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"christmas","RCA Records Label",0.587,0.583,5,-5.284,0,0.0313,0.248,0,0.124,0.15,139.92,4
spotify:track:6dwkFmLUz6hx2CZG2EqLol,"Collide","Stop All The World Now","Howie Day",2003-10-07,249120,65,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:19:58Z,"","Epic",0.636,0.625,11,-7.895,1,0.0277,0.222,0.0000535,0.119,0.342,93.931,4
