Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ZpOQ2MJxce0xf1eKhobMR,"Big Girls Don't Cry (Personal)","The Dutchess Deluxe","Fergie",2007-01-01,268120,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"","Universal Music Group",0.697,0.645,7,-4.27,1,0.0359,0.173,0,0.0892,0.271,113.101,4
spotify:track:2p4jqhyz2i0x1D2EtSQptK,"Don't Matter - Radio Edit","Don't Matter (Intl MaxiEnhanced)","Akon",2007-01-01,249413,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"","Universal Music Group",0.812,0.431,2,-6.115,1,0.0414,0.259,0,0.165,0.371,125.25,4
spotify:track:0kpyiEcH82ni9TuuZYxKzL,"Razões E Emoções","NX Zero","NX Zero",2006-01-27,222400,62,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"brazilian rock,emo,brazilian pop","Universal Music Ltda.",0.58,0.931,3,-2.886,1,0.0313,0.0543,0.000116,0.309,0.432,124.097,4
spotify:track:15475SXNlwYzXcNPdhGh4L,"Natiruts Reggae Power - Ao Vivo","Reggae Power (Ao Vivo)","Natiruts",2006-07-01,232013,60,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"reggae,mpb,roots reggae","Sony Music Entertainment",0.663,0.867,6,-6.222,0,0.0499,0.324,0.00579,0.911,0.678,100.104,4
spotify:track:2Y2ud3awMZHDxOCpDebiv3,"Umbrella","Good Girl Gone Bad: Reloaded","Rihanna;JAY-Z",2008-06-02,275986,3,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"hip hop,east coast hip hop,rap","Universal Music Group",0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,4
spotify:track:3hc7PLcmuZbJGPjhIore1i,"Too Little Too Late - 2018","The High Road (2018)","JoJo",2018-12-20,223533,57,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:03:18Z,"","Clover Music",0.394,0.821,6,-4.304,0,0.0404,0.00302,0.019,0.186,0.509,82.764,4
spotify:track:2HWWNoWEEEECwZhAiLg7ib,"Beautiful Liar","B'Day Deluxe Edition","Beyoncé;Shakira",2007-05-29,199853,70,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"latin pop","Columbia",0.764,0.751,8,-3.74,1,0.0703,0.00554,0.000237,0.164,0.418,91.977,4
spotify:track:6RX5iL93VZ5fKmyvNXvF1r,"Irreplaceable","B'Day Deluxe Edition","Beyoncé",2007-05-29,227853,71,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"","Columbia",0.447,0.694,7,-4.637,0,0.382,0.0293,0.00000546,0.167,0.509,175.868,4
spotify:track:5YQPOIAt3U7DMAswTVvzax,"Eu Sei","Papas Da Língua","Papas Da Língua",2006-01-01,232120,64,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"mpb,brazilian rock,brazilian pop","EMI Brazil",0.44,0.613,7,-8.234,1,0.0301,0.59,0,0.935,0.397,108.087,4
spotify:track:1Z88J6watruyVlPnhdXkNe,"Deixo - Ao Vivo","Ivete - Multishow Ao Vivo No Maracanã","Ivete Sangalo",2006-01-01,352757,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T11:01:27Z,"axé,pagode baiano,mpb,brazilian pop","Mercury",0.494,0.709,1,-8.782,1,0.0335,0.625,0.0000476,0.699,0.501,80.032,4
