Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZbtRTb8D1BdbJRP0ZJfm0,"Vidro Fumê - Ao Vivo","Sertanejo na Pista 2","Bruno & Marrone",2014-02-18,210426,16,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"sertanejo,sertanejo tradicional,sertanejo universitário","Sony Music Entertainment",0.627,0.925,11,-3.712,0,0.0861,0.224,0,0.906,0.615,120.012,4
spotify:track:50a9ONtn7B2WD7fDZYtjlf,"Te Esperando - Ao Vivo","O Nosso Tempo É Hoje (Ao Vivo)","Luan Santana",2013-10-21,277653,51,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"sertanejo,sertanejo universitário,arrocha","Som Livre",0.272,0.577,10,-7.838,1,0.0535,0.89,0.0000505,0.47,0.519,72.433,4
spotify:track:77Ztfd0fzBA9sPJNVmvyGF,"Vagalumes","Vim pra Dominar o Mundo","POLLO",2012-12-07,169920,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"","Pollo",0.803,0.75,11,-4.64,1,0.246,0.196,0,0.134,0.715,87.992,4
spotify:track:28aUFtkMnJaqNQkLHR0weV,"Show das Poderosas","Anitta","Anitta",2013-02-06,150933,58,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"brazilian pop,funk pop,brazilian funk,funk carioca","WM Brazil",0.806,0.694,5,-7.857,0,0.104,0.205,0,0.0447,0.661,132.97,4
spotify:track:2V65y3PX4DkRhy1djlxd9p,"Don't You Worry Child - Radio Edit","Don't You Worry Child","Swedish House Mafia;John Martin",2012-09-14,212862,82,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"edm","Pophouse Entertainment Group",0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.438,129.042,4
spotify:track:0nFcjAA5jDQgUTAZgh21oI,"Amor de Chocolate (Versão Estúdio)","Amor de Chocolate (Versão Estúdio) - Single","Naldo Benny",2012-07-17,222422,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"funk melody","Deckdisc",0.851,0.872,6,-6.557,0,0.144,0.0124,0.00000598,0.0529,0.909,130.026,4
spotify:track:4juuHs3mbaZKuiBUEDgLzF,"Na Linha do Tempo","Viva por Mim","Victor & Leo",2013-10-07,227373,56,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"sertanejo,sertanejo tradicional,sertanejo universitário","Som Livre",0.592,0.493,6,-8.382,1,0.0355,0.475,0.00000208,0.114,0.51,83.988,4
spotify:track:0nJW01T7XtvILxQgC5J7Wh,"When I Was Your Man","Unorthodox Jukebox","Bruno Mars",2012-12-07,213826,88,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"","Atlantic Records",0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4
spotify:track:3XyMPyuWwHcGMvXeJY6Qt0,"Girl On Fire (feat. Nicki Minaj) - Inferno Version","Girl On Fire","Alicia Keys;Nicki Minaj",2012-11-26,270723,55,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:50:46Z,"r&b,neo soul","RCA Records Label",0.591,0.808,9,-5.943,1,0.288,0.0869,0.00396,0.147,0.337,92.864,4
spotify:track:3Wg3ANt4nflhjGh6GSwerW,"Jeito Carinhoso - Ao Vivo","Ao Vivo","Jads & Jadson",2013-09-16,185906,64,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T12:54:59Z,"sertanejo,sertanejo universitário,agronejo,sertanejo tradicional","Som Livre",0.5,0.815,4,-6.012,0,0.116,0.357,0.00000148,0.406,0.251,173.931,4
