Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5WO8MdgIrbNBo9TeKzTVBl,"눈물 (Feat. 유진 Of 더 씨야)","이단옆차기 프로젝트 Vol.02","Leessang;유진 Of 더 씨야",2013-01-25,254586,43,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-ballad,k-rap","Kakao Entertainment",0.682,0.856,11,-4.901,1,0.0534,0.219,0,0.0842,0.7,97.998,4
spotify:track:5SusX17QvBBkH7WfMbTU0j,"NoNoNo","Secret Garden","Apink",2013-07-05,220099,55,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","Above Music",0.74,0.908,4,-2.668,0,0.0327,0.106,0,0.0637,0.745,105.996,4
spotify:track:2ya7fqUkDMXFMR2NGLW5UN,"눈물샤워 (feat. AILEE)","4집 Part.2","BAECHIGI;AILEE",2013-01-14,235853,40,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-ballad,k-rap,k-pop","YMC엔터테인먼트",0.753,0.702,10,-4.905,0,0.0518,0.367,0,0.0978,0.554,111.956,4
spotify:track:1t88m8JUlqn9kf0FLmVta5,"Give it to me","Give It To Me","SISTAR",2013-06-11,201325,57,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","Starship Entertainment",0.719,0.945,7,-2.085,0,0.0424,0.176,0,0.576,0.961,136.045,4
spotify:track:5DZdCgnX9xAj59X6X7cQBs,"Crazy","Crazy","4Minute",2015-02-09,192400,59,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","CUBE ENTERTAINMENT",0.54,0.929,7,-2.646,1,0.279,0.00584,0.00000411,0.424,0.621,176.019,4
spotify:track:0lI2ohzKlfP1IYj42xIzHQ,"Monodrama (With. Yu Seung Woo)","LITTLE GIANT","Huh Gak",2013-02-05,229355,28,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-ballad","Above Music",0.662,0.426,4,-7.506,0,0.0263,0.78,0,0.276,0.439,106.931,4
spotify:track:10I0XvqeFkhn1whqXuMY73,"My Love","MY LOVE","Lee Seung Chul",2013-06-18,203899,45,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-ballad","2013 Stone Music Entertainment, Jin&Won Music Works, Beak Entertainment",0.679,0.821,1,-5.164,1,0.0281,0.164,0,0.0922,0.54,111.983,4
spotify:track:4TAENzBN2lYuXBF9ZNauwJ,"Gone not around any longer","Gone not around any longer","SISTAR19",2013-01-31,211069,49,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","Starship Entertainment",0.646,0.804,8,-4.372,1,0.0313,0.177,0,0.0886,0.69,145.986,4
spotify:track:1WZxPeYuj32G1Ziq5BbILK,"Bad Influence (Prod. by Pharrell Williams)","Bad Influence (Prod. by Pharrell Williams)","SEVENTEEN;Pharrell Williams",2025-06-11,175189,27,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","PLEDIS Entertainment",0.833,0.58,1,-7.034,1,0.0399,0.00714,0,0.128,0.467,119.992,4
spotify:track:4pi0Elz7B7cLfw37J3bYm9,"Growl","The 1st Album 'XOXO' (Repackage)","EXO",2013-08-05,207053,65,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","SM Entertainment",0.681,0.814,11,-2.83,0,0.0603,0.145,0,0.556,0.876,89.993,4
spotify:track:22qElNGH8IYHR4Ev88CgTO,"거북이","MYSTIC BALLAD Pt. 2","DAVICHI",2013-03-18,225093,41,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-ballad,soundtrack,k-pop","Beyond Music",0.704,0.746,10,-6.375,1,0.0398,0.321,0,0.0921,0.521,117.988,4
spotify:track:2BWd1qRu8mc6H0HbDtn8Dr,"Gentleman","VIP DJ","PSY",2013-01-01,194546,53,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-pop","Universal Music Asia Pacific",0.878,0.723,3,-3.334,0,0.102,0.00227,0,0.0516,0.619,126.01,4
spotify:track:1HOcUR5aloWDwLAsPtWwel,"Officially Missing You, Too","re;code Episode I","Geeks;SOYOU",2012-11-01,225666,38,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:39:13Z,"k-ballad,k-rap,k-pop","Kakao Entertainment",0.687,0.827,7,-4.777,1,0.0422,0.0894,0,0.0836,0.6,100.017,4
