Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ,"Where Is The Love?","Elephunk","Black Eyed Peas",2003-06-24,272533,82,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"","A&M",0.834,0.699,5,-3.222,1,0.178,0.111,0,0.131,0.809,94.086,4
spotify:track:0COqiPhxzoWICwFCS4eZcp,"Bring Me To Life","Fallen","Evanescence",2003-03-04,235893,88,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"alternative metal","The Bicycle Music Company",0.331,0.943,4,-3.188,0,0.0698,0.00721,0.00000206,0.242,0.296,94.612,4
spotify:track:7iL6o9tox1zgHpKUfh9vuC,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,82,true,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"east coast hip hop,old school hip hop","Shady Records",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
spotify:track:3fjmSxt0PskST13CSdBUFx,"Somewhere I Belong","Meteora (Bonus Edition)","Linkin Park",2003-03-25,213933,83,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.451,0.951,1,-3.754,1,0.0645,0.000386,0.00000256,0.261,0.441,162.041,4
spotify:track:6B6aCxSBsECsulzOkJRxGv,"If You're Not The One","Gotta Get Thru This","Daniel Bedingfield",2002,257026,54,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"uk garage","Polydor Records",0.688,0.538,10,-7.608,1,0.0292,0.504,0,0.111,0.27,119.998,4
spotify:track:5IVuqXILoxVWvWEPm82Jxr,"Crazy In Love (feat. JAY-Z)","Dangerously In Love","Beyoncé;JAY-Z",2003-06-24,236133,78,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"hip hop,east coast hip hop,rap","Columbia",0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,4
spotify:track:1AWQoqb9bSvzTjaLralEkT,"Rock Your Body","Justified","Justin Timberlake",2002-11-04,267266,83,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"","Jive",0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,4
spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,"Here Without You","Away From The Sun","3 Doors Down",2002-11-12,238733,80,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"post-grunge","Universal Records",0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,4
spotify:track:3TCauNPqFiniaYHBvEVoHG,"Beautiful","Stripped","Christina Aguilera",2002-07-19,238560,68,false,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"","RCA Records Label",0.456,0.573,5,-3.866,0,0.0275,0.578,0.00000305,0.114,0.0992,76.19,4
spotify:track:0YImOCkIJ2PWhCXaURCZnY,"I Know What You Want (feat. Flipmode Squad)","It Ain't Safe No More. . .","Busta Rhymes;Mariah Carey;Flipmode Squad",2002-11-26,324306,71,true,21v5kmjjmfuewr67762leauqy,2025-11-24T08:12:00Z,"east coast hip hop,christmas","J Records",0.648,0.759,6,-4.315,1,0.306,0.0142,0,0.648,0.518,85.996,4
