Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2yQMmtem48vOjB1OXAvbKD,"Quem de nós Dois (La Mia Storia Tra Le Dita)","Ana Rita Joana Iracema Carolina","Ana Carolina",2001-04-23,305666,63,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:16Z,"mpb,brazilian pop,nova mpb","Ariola",0.594,0.591,10,-7.869,1,0.0351,0.22,0,0.117,0.508,159.985,4
spotify:track:751gBcu62kORDelX7FV0mM,"Thank You","No Angel","Dido",1999-06-01,217826,59,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:16Z,"","Arista",0.722,0.595,1,-9.928,0,0.0415,0.284,0.00054,0.0694,0.738,79.981,4
spotify:track:7GQqj9jRtDkMp8zByehXQI,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack","Moulin Rouge","Christina Aguilera;Lil' Kim;Mýa;P!nk",2001-01-01,264846,55,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:17Z,"east coast hip hop","Moulin Rouge / Interscope",0.756,0.808,5,-3.655,1,0.0541,0.0175,0.00000367,0.66,0.638,109.902,4
spotify:track:4xWJd4UaOwFn4X7ktIvh6G,"Acima do Sol - Ao Vivo","#1 Hits","Skank",2013-01-28,312573,51,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:17Z,"brazilian rock,mpb,brazilian pop,pop rock","Sony BMG Music Entertainment",0.45,0.889,7,-4.688,1,0.0657,0.356,0,0.911,0.262,91.947,4
spotify:track:2Bv3KubyRDc7w4J5rC2DL5,"Love by Grace","Lara Fabian","Lara Fabian",2000-05-26,247706,50,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:17Z,"variété française,chanson,chanson québécoise","Columbia",0.416,0.376,6,-8.764,1,0.0322,0.714,0,0.104,0.194,137.699,4
spotify:track:0DsCczxHkhp8bMNZZCRNfv,"It Wasn't Me - Demonstration Version, Includes Lead Singer","Karaoke, In The Style Of Shaggy, Ricardo ""Rikrok"" Ducent, Vol. 1","Stingray Music (Karaoke)",2008-01-15,229711,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:18Z,"","Stingray Music (Karaoke)",0.826,0.567,5,-6.09,1,0.0558,0.13,0,0.235,0.581,94.728,4
spotify:track:3KpQcbkQnGOf9MopIoShzl,"Por Te Amar Assim (Por Amarte Asi)","Marlon & Maicon","Marlon & Maicon",2001-02-20,268800,48,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:18Z,"sertanejo,sertanejo tradicional,sertanejo universitário","Indie Records Ltda",0.678,0.598,0,-6.2,1,0.0278,0.394,0,0.169,0.354,130.197,4
spotify:track:2tP7ZekzXfduShx8C6cbll,"I'm Like A Bird","Whoa, Nelly!","Nelly Furtado",2000,243160,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:18Z,"","Geffen",0.622,0.608,10,-5.085,1,0.036,0.138,0.00000538,0.273,0.607,89.661,4
spotify:track:3vGe7r7bN9NzbBj9cNaKL9,"Vou Te Procurar / Distância - Ao Vivo","Os Travessos 20 Anos (Ao Vivo)","Os Travessos",2015-08-15,290466,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:18Z,"pagode,samba","Os Travessos",0.304,0.717,0,-6.191,1,0.0536,0.151,0,0.96,0.446,156.087,4
spotify:track:1wx6JALNy9KXwndVziEUKw,"Usted Se Me Llevo la Vida","É Por Amor","Alexandre Pires",2001-06-22,272693,63,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:19Z,"pagode,samba","RCA Records Label",0.422,0.538,7,-9.378,1,0.0514,0.669,0,0.171,0.353,139.189,4
spotify:track:3BRy2i0AdXgGv3dqeo1W5m,"Daylight In Your Eyes","Instrumental Covers of No Angels","White Knight Instrumental",2000,223283,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:19Z,"","White Knight Instrumental",0.663,0.457,9,-15.139,1,0.0325,0.137,0.26,0.38,0.613,126.015,4
spotify:track:0UdqZQEbRWTkNXlh5kl2L8,"All For You","All For You","Janet Jackson",2001-04-24,330026,48,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:19Z,"new jack swing","Virgin Records",0.752,0.925,2,-3.288,1,0.0867,0.0178,0.125,0.104,0.692,113.528,3
spotify:track:3If5TEenctSyERJciZQvUr,"Passou da Conta","Zezé Di Camargo e Luciano - 20 Anos de Carreira","Zezé Di Camargo & Luciano",2000-07-10,277626,42,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-09T12:10:20Z,"sertanejo tradicional,sertanejo","Sony BMG Music Entertainment",0.486,0.561,0,-5.476,1,0.0314,0.786,0,0.149,0.266,143.773,4
