Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1zzzOWD0A3cUVP2YKWLele,"Fui Eu","Zezé Di Camargo & Luciano 2005","Zezé Di Camargo & Luciano",2005,266053,43,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo tradicional,sertanejo","Columbia",0.543,0.589,10,-8.118,1,0.0337,0.739,0,0.0644,0.327,74.96,4
spotify:track:68vgtRHr7iZHpzGpon6Jlo,"My Boo","Confessions (Expanded Edition)","USHER;Alicia Keys",2004-03-23,223440,81,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"r&b,neo soul","LaFace Records",0.662,0.507,5,-8.238,1,0.118,0.257,0,0.0465,0.676,86.412,4
spotify:track:71Peaf63iGqRMuO0XYnFkf,"Eu Amo","Zezé Di Camargo & Luciano 2003","Zezé Di Camargo & Luciano",2003-09-15,246293,43,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo tradicional,sertanejo","Columbia",0.395,0.514,9,-8.621,1,0.0388,0.187,0,0.196,0.366,155.732,4
spotify:track:154TUoBh612uPO2phkrLPh,"Quer Casar Comigo","Meu Presente É Você","Bruno & Marrone",2005,217333,41,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo,sertanejo tradicional,sertanejo universitário","Columbia",0.825,0.557,9,-6.663,1,0.0511,0.73,0.00000148,0.0875,0.756,117.954,4
spotify:track:0HJRAM7Gt9jXskuXjZeFX3,"Holiday / Boulevard of Broken Dreams","American Idiot (Deluxe)","Green Day",2004-09-21,493400,57,true,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"punk,pop punk","Reprise",0.29,0.827,8,-3.451,1,0.0362,0.000659,0.00000255,0.301,0.45,167.086,4
spotify:track:5a008ecFPEypprh1yOg1bM,"Vamos Fugir","#1 Hits","Skank",2013-01-28,240133,56,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian rock,mpb,brazilian pop,pop rock","Sony BMG Music Entertainment",0.604,0.752,6,-5.625,0,0.0352,0.22,0,0.112,0.756,135.943,4
spotify:track:4Iz2d6jGRppoA9NXR2ZA0m,"Choram as Rosas (Lloran las Rosas)","Meu Presente É Você","Bruno & Marrone",2005,234666,47,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo,sertanejo tradicional,sertanejo universitário","Columbia",0.618,0.686,7,-4.678,1,0.0259,0.151,0.00000339,0.0858,0.496,113.954,4
spotify:track:5JG3ecsV3qqP8JaNtMYlNY,"Você Sempre Será - Live","Você Sempre Será - Ao Vivo E Acústico","Marjorie Estiano",2007-01-01,294773,11,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian pop,mpb","Universal Music Ltda.",0.35,0.617,9,-8.724,1,0.0342,0.00958,0.00000185,0.874,0.345,97.985,3
spotify:track:5myIRpLrsq35JPaT1RkoaA,"Como Vai Você","Trilha Sonora ""Dois Filhos de Francisco""","Zezé Di Camargo & Luciano;Antonio Marcos",2005-08-12,252946,43,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo tradicional,sertanejo,brega,seresta,mpb","Columbia",0.393,0.58,0,-6.404,1,0.0314,0.0914,0,0.131,0.194,136.378,5
spotify:track:0bCLok3pkMS2lJtbgPVhph,"Um Minuto Para O Fim Do Mundo","Felicidade Instantânea","CPM 22",2005-01-01,197750,1,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian rock,brazilian pop","Universal Music",0.408,0.973,0,-2.802,1,0.049,0.0054,0,0.163,0.67,126.724,4
spotify:track:4mNGNMcsoMS6F9SGycmHWM,"Lonely","Heartbreakers","Akon",2007-01-01,235493,49,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"","Universal Music Group International",0.624,0.572,5,-7.531,0,0.0352,0.322,0,0.314,0.57,90.067,4
spotify:track:3xMsHbBGKf5A6Kza6pD6oW,"Cadê Meu Amor","À Vera","Zeca Pagodinho",2005-01-01,253093,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"samba,pagode","Universal Music Taiwan",0.56,0.572,6,-9.231,0,0.04,0.663,0,0.118,0.65,101.086,4
spotify:track:1Fw57hKJYlXgrcgq6iztVm,"Céu Da Boca - Live","Axé Bahia 2006","Ivete Sangalo",2006-01-01,227213,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"axé,pagode baiano,mpb,brazilian pop","Universal Music International Ltda.",0.528,0.856,9,-7.642,1,0.117,0.133,0,0.453,0.521,128.012,4
spotify:track:4MhdkKwzXifgDrdtNvMvJJ,"Festa no Apê (Dragostea Din Tei)","Latino Apresenta as Aventuras de DJ L - Festa no Apê","Latino",2004-06-07,251520,50,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"funk melody,axé","Sony Music Entertainment",0.792,0.718,0,-6.895,1,0.05,0.0965,0,0.96,0.844,130.009,4
spotify:track:1qR8saLKsf4oIGdpt4QUQc,"We Belong Together","The Emancipation of Mimi (International Jewel)","Mariah Carey",2005,201400,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"christmas","Universal Music Group",0.842,0.476,0,-7.918,1,0.0626,0.0263,0,0.0865,0.767,140.01,4
spotify:track:77Fgqdi3d3bOHozxId2V5B,"Um Mais Um","#1 Hits","Skank",2013-01-28,386266,23,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian rock,mpb,brazilian pop,pop rock","Sony BMG Music Entertainment",0.455,0.9,2,-5.371,1,0.0332,0.0353,0.0000521,0.109,0.424,141.908,4
spotify:track:4kpG3MhoR6wnglkJfqAkFV,"Amor Demais","Deu Saudade","Edson & Hudson",2012-01-01,193680,15,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo,sertanejo tradicional,sertanejo universitário","EMI",0.548,0.594,11,-4.651,1,0.0272,0.485,0,0.205,0.424,107.943,4
spotify:track:45ArFn6aVf3BjJOrZM4Yix,"Doce Desejo - Ao Vivo","Exttravase! - Claudia Leitte","Babado Novo;Claudia Leitte",2013-01-01,211600,12,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"axé,pagode baiano,brazilian pop","Universal Music Ltda.",0.701,0.875,0,-7.085,1,0.0677,0.283,0,0.78,0.764,122.013,4
spotify:track:0SjUqfCAkQYkNUSAn0p7y1,"Irreversível","Felicidade Instantânea","CPM 22",2005-01-01,229500,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian rock,brazilian pop","Universal Music",0.42,0.985,5,-3.157,1,0.058,0.00141,0,0.312,0.772,91.819,4
spotify:track:0h5m65o5KnMFB4Gq47mbKt,"Candy Shop","The Massacre (Ecopac Reissue Explicit)","50 Cent;Olivia",2005-03-03,208533,1,true,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"east coast hip hop,old school hip hop","Universal Music Ltd.",0.612,0.577,11,-8.01,1,0.458,0.0237,0.0000622,0.381,0.745,128.422,5
spotify:track:7clUVcSOtkNWa58Gw5RfD4,"Speed of Sound","X&Y","Coldplay",2005-06-07,287906,74,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"","Parlophone Records Limited",0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,4
spotify:track:6Kh4FkETk9i3EUVTerZEuY,"Incomplete","Never Gone","Backstreet Boys",2005-01-01,239586,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"","Jive",0.446,0.604,4,-4.895,1,0.033,0.192,0,0.078,0.157,133.726,4
spotify:track:7dyluIqv7QYVTXXZiMWPHW,"Numb / Encore","Collision Course","JAY-Z;Linkin Park",2004,205280,67,true,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"hip hop,east coast hip hop,rap,nu metal,rap metal,rock,alternative metal","Warner Records/Roc-A-Fella",0.685,0.803,2,-4.251,1,0.156,0.0601,0,0.546,0.799,107.005,4
spotify:track:5s5t0OFg9lIlBFaCI14K1i,"She Will Be Loved","Songs About Jane","Maroon 5",2002-06-25,257133,1,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"pop","Universal Music Group",0.524,0.711,0,-5.494,0,0.0405,0.0567,0,0.134,0.539,203.867,4
spotify:track:5mOh1yA3HpzXjEoAuJpwJ2,"Inevitável - Ao Vivo","Bruno E Marrone Ao Vivo","Bruno & Marrone",2004-10-01,236106,42,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo,sertanejo tradicional,sertanejo universitário","RCA Records Label",0.532,0.615,0,-7.297,1,0.0491,0.498,0.0000391,0.907,0.367,148.791,4
spotify:track:3BnvVIFwQXXMGjkW4rWRJj,"Don't Phunk With My Heart","Monkey Business","Black Eyed Peas",2005-01-01,239773,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"","Universal Music Group",0.69,0.928,5,-2.76,0,0.061,0.00937,0,0.547,0.604,130.889,4
spotify:track:6ZkpplaGIGV7IHOvzEHOA6,"A Desconhecida","Leonardo Canta Grandes Sucessos","Leonardo",2004-08-13,225373,38,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"sertanejo tradicional,sertanejo","RCA Records Label",0.479,0.595,7,-8.088,1,0.0314,0.224,0,0.158,0.511,122.245,4
spotify:track:2eDVmJw9WZ9BRAtp0y9zzE,"A Ilha","A Ilha","KLB",2010-01-01,203080,28,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian pop","Universal Music Ltda.",0.423,0.584,9,-5.828,1,0.0304,0.067,0,0.122,0.195,166.798,4
spotify:track:2yrTnLY0vQAIJbOfl3TMzJ,"Não Vá Me Enganar (O Amor Que Eu Sempre Quis) [The Closer I Get to You] - Ao Vivo","Seu Fã Ao Vivo","Belo",2004-06-09,330866,26,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"pagode,samba","Sony Music Entertainment",0.552,0.402,8,-13.613,1,0.0372,0.712,0.0201,0.266,0.316,119.821,4
spotify:track:5mc7FLjKZy3AtNpXLmqF7V,"Na frente do reto - Acústico","Acústico MTV","O Rappa",2006-04-13,328546,46,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"brazilian rock,mpb,brazilian pop,brazilian hip hop,reggae","WM Brazil",0.703,0.918,8,-7.644,1,0.0759,0.169,0.109,0.968,0.775,117.751,4
spotify:track:6pIpG5tY6fbCtRDoMA7LLS,"Don't Lie","Monkey Business","Black Eyed Peas",2005-01-01,219000,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"","Universal Music Group",0.662,0.785,9,-5.299,1,0.186,0.16,0,0.0784,0.604,89.885,4
spotify:track:6aYrEkZbVjTBnHTp2VXdyM,"Meu Ébano - Ao Vivo","Duas Faces Na Mangueira (Ao Vivo)","Alcione;MV Bill;Jorge Aragão",2012-04-03,215386,0,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"samba,pagode,mpb,brazilian hip hop","Biscoito Fino",0.588,0.902,0,-6.134,1,0.256,0.426,0,0.788,0.531,93.926,3
spotify:track:3ZffCQKLFLUvYM59XKLbVm,"Wake Me up When September Ends","American Idiot","Green Day",2004-09-21,285653,81,false,0ud4plxqcvksx3rt4vu0v3pt4,2019-09-06T10:56:57Z,"punk,pop punk","Reprise",0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4
