Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:34ur063WdATV4hGzCeEAsx,"So Hot","So Hot","Wonder Girls",2008-06-03,181328,58,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","Republic Records - JYP Entertainment",0.88,0.695,1,-5.87,0,0.052,0.0192,0.00972,0.0515,0.963,139.981,4
spotify:track:4LOLvDtzykDC7y9WehFoOi,"Blue","ALIVE","BIGBANG",2012-02-29,233098,64,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","YG Entertainment",0.608,0.706,7,-7.275,1,0.0853,0.0595,0,0.056,0.357,124.985,4
spotify:track:6hQZn0khzhIZmMQ2erzx6q,"LOVE","With L.O.V.E Brown Eyed Girls","Brown Eyed Girls",2008-01-17,217626,41,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","Nega Network",0.736,0.799,9,-6,0,0.0442,0.0557,0,0.102,0.93,134.001,4
spotify:track:6DEN0NHItNNdepd9IhlC3H,"Nobody","The Wonder Years - Trilogy","Wonder Girls",2008-09-22,212533,64,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","Republic Records - JYP Entertainment",0.882,0.786,3,-7.383,0,0.075,0.102,0.00142,0.0856,0.95,130.978,4
spotify:track:7194DASiBaP8VgJwn0Ruh4,"서커스 (feat. Yim you Kyung, $howgun)","Show's Just Begun","MC MONG;Yim you Kyung;쇼군",2008-04-17,216520,40,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,k-rap","엠에이와일드독엔터테인먼트",0.778,0.863,4,-3.392,0,0.116,0.24,0,0.366,0.96,100.014,4
spotify:track:7ijWcf4FsoxoyPK4B9WGp6,"LAST DANCE","MADE","BIGBANG",2016-12-13,279655,61,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","YG Entertainment",0.614,0.666,1,-3.087,0,0.0541,0.455,0,0.23,0.299,143.858,4
spotify:track:0BVfqaWPOUTGymk4RXScn6,"사랑과 전쟁 (하하 Narration Version)","Vivid Summer Edition 1st Amaranth Repackage Album","DAVICHI",2008-07-03,256288,38,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,soundtrack,k-pop","Beyond Music",0.653,0.882,1,-4.462,0,0.062,0.0611,0,0.157,0.854,131.953,4
spotify:track:2fh10PFATZWVt5iA3HZckK,"Girlfriend","Face Off","Bow Wow;Omarion",2007-12-10,284826,49,true,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"r&b","Columbia",0.722,0.792,7,-5.316,1,0.175,0.103,0,0.261,0.84,75.004,4
spotify:track:4LOLvDtzykDC7y9WehFoOi,"Blue","ALIVE","BIGBANG",2012-02-29,233098,64,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","YG Entertainment",0.608,0.706,7,-7.275,1,0.0853,0.0595,0,0.056,0.357,124.985,4
spotify:track:373fb3tsAbcShtD2RZ8edv,"벌써 일년","Brown Eyes","Brown Eyes",2001-06-01,207826,57,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad","CJ E&M MUSIC",0.72,0.73,8,-4.205,1,0.0237,0.19,0.00000344,0.192,0.55,104.017,4
spotify:track:0kI4gkSB5W1uoYs8VT5ib4,"발자국","Inside Story","Monday Kiz",2008-03-31,255253,29,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,soundtrack","Beyond Music",0.656,0.579,3,-5.612,0,0.0314,0.272,0,0.137,0.527,129.966,4
spotify:track:0jzn5qJYRH1wogg1WxRVLA,"One More Time","Kitchi Island","Jewelry",2008-02-20,204879,27,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"","STAR EMPIRE",0.779,0.764,11,-4.793,1,0.0396,0.0293,0,0.33,0.598,131.964,4
spotify:track:5VlSwEfLWdFGNqwSQfdu0m,"다시 널 부를게","김동희1집","김동희",2025-03-15,202799,14,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"","별똥별",0.554,0.447,11,-11.547,1,0.0336,0.0982,0,0.127,0.182,75.976,4
spotify:track:0QqKvFZeDz117QeOJiZqpl,"죽어도 못 보내","잘못했어","2AM",2010-03-16,195906,49,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,k-pop","Republic Records - JYP Entertainment",0.574,0.772,2,-3.093,1,0.03,0.207,0,0.151,0.543,136.857,4
spotify:track:2tSPS5dRintqVulKAKni2T,"One (feat. 지선)","Pieces, Part One","Epik High;지선",2008-04-17,230320,48,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-rap,k-pop,k-ballad","CJ E&M MUSIC",0.742,0.783,1,-4.294,1,0.0368,0.0765,0.000104,0.0558,0.594,135.02,4
spotify:track:0LCWD89QP3KfPFxKLQoVRk,"그대라는 시","Hotel del Luna (Original Television Soundtrack) Pt. 3","TAEYEON",2019-07-21,209482,61,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop,k-ballad","Beyond Music",0.533,0.292,9,-7.1,1,0.0364,0.914,0,0.118,0.472,135.624,4
spotify:track:1cYp7vgkUWZDUJInI6bqef,"라라라","My Friend","SG Wannabe",2008-04-23,276853,43,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,soundtrack","Genie Music Corporation",0.375,0.726,0,-4.013,1,0.0607,0.554,0,0.0725,0.494,197.675,4
spotify:track:5FJXAiC4P7gFihsdMV59XU,"어쩌다","Brown Eyed Girls BEST - Special Moments","Brown Eyed Girls",2014-08-08,203840,34,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","Beyond Music",0.892,0.91,0,-2.038,1,0.04,0.108,0,0.607,0.677,129.972,4
spotify:track:3wR4BzZY8K3EqhOYv1gew6,"보고싶은 날엔 (박지헌)","Love 최신가요 2","Various Artists",2010-05-25,213333,9,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"","RIAK",0.667,0.506,9,-7.389,1,0.0284,0.75,0,0.106,0.393,113.356,4
spotify:track:7KkEpDFUsjIzpWDscOu0tk,"Hey Mr. Big","It′s Hyorish","Lee Hyori",2008-07-14,191746,25,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","Genie Music Corporation",0.679,0.93,6,-3.842,0,0.101,0.0232,0,0.177,0.961,141.884,4
spotify:track:1xaLJbuJr6efSW8MFA7vTu,"Only Look At Me (나만 바라봐)","Solar International","TAEYANG",2010-08-19,240920,55,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-pop","YG Entertainment",0.707,0.675,2,-5.165,1,0.0336,0.27,0,0.332,0.859,140.048,4
spotify:track:2sLFX5DMcQeSuqJGyPjKck,"미워도 사랑하니까","AMARANTH","DAVICHI",2008-01-28,299756,31,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,soundtrack,k-pop","Beyond Music",0.544,0.567,7,-5.1,1,0.0384,0.747,0,0.12,0.159,133.711,4
spotify:track:1DLrUxCQwAxJx8NogkdFuz,"I love you I am sorry","Road Movie","Zia",2008-07-14,220813,19,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad","Kakao Entertainment",0.411,0.572,3,-4.569,1,0.0343,0.553,0,0.117,0.375,136.769,4
spotify:track:2tSPS5dRintqVulKAKni2T,"One (feat. 지선)","Pieces, Part One","Epik High;지선",2008-04-17,230320,48,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-rap,k-pop,k-ballad","CJ E&M MUSIC",0.742,0.783,1,-4.294,1,0.0368,0.0765,0.000104,0.0558,0.594,135.02,4
spotify:track:6UF4dbXnxEL2kTKDoGAUS8,"I'm Sorry (Feat. T.O.P)","Comfort","GUMMY;T.O.P.",2008-03-12,236560,34,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-ballad,soundtrack,k-pop,k-rap","YG Entertainment",0.751,0.675,5,-8.33,1,0.0482,0.0407,0,0.306,0.685,125.029,4
spotify:track:77WBsNSTTDrp7rkZEsbAcv,"Blue Moon","Once in a BLUE MOON","N.Flying",2023-05-20,215093,49,false,21v5kmjjmfuewr67762leauqy,2025-11-22T09:34:22Z,"k-rock,k-pop","FNC ENTERTAINMENT",0.64,0.831,0,-3.399,0,0.0744,0.175,0,0.124,0.807,105.093,4
