,Country,Treat_Grp,Year,post_recession,BPM,Danceability,Energy,Happy,Loudness,youth_unemployment
42,AUS,0,2000,0,121.57649,0.6697399999999999,0.80452,0.6873600000000002,-5.881609999999999,0.12084
43,AUS,0,2001,0,117.8741414141414,0.6856767676767676,0.7632929292929294,0.6767373737373736,-5.755828282828282,0.13476
44,AUS,0,2002,0,119.13408333333332,0.6682916666666666,0.7659583333333332,0.6427916666666667,-5.252739583333334,0.12794
45,AUS,0,2003,0,119.44492708333333,0.65728125,0.7299375,0.6067,-5.387302083333334,0.11962
46,AUS,0,2004,0,117.16907216494847,0.6562577319587628,0.7124329896907218,0.6101175257731959,-5.454432989690722,0.11366
47,AUS,0,2005,0,119.75738541666664,0.67946875,0.72584375,0.6014666666666667,-5.4121145833333335,0.1061899999999999
48,AUS,0,2006,0,124.83108421052631,0.6242105263157894,0.7215578947368422,0.5441368421052631,-5.467694736842105,0.10026
49,AUS,0,2007,0,126.47238,0.63015,0.7623000000000001,0.5497099999999999,-5.1094100000000005,0.0935999999999999
50,AUS,0,2008,0,129.22961999999998,0.6349800000000001,0.75981,0.5290209999999999,-4.86729,0.08814
51,AUS,0,2009,1,129.79332,0.6305599999999999,0.7865300000000001,0.57058,-4.6362,0.11461
52,AUS,0,2010,1,124.42914,0.6592,0.77738,0.57234,-4.96686,0.11548
53,AUS,0,2011,1,126.95333,0.6578000000000002,0.77498,0.592856,-4.79476,0.1137
54,AUS,0,2012,1,123.88132000000002,0.6368,0.77878,0.5764020000000001,-4.84685,0.11728
55,AUS,0,2013,1,122.36924,0.62655,0.72312,0.5147379999999999,-5.395550000000002,0.1222
28,BRA,0,2000,0,124.70863414634144,0.6125121951219512,0.7125487804878049,0.6450365853658536,-6.76659756097561,0.20327
29,BRA,0,2001,0,124.46317721518986,0.6191392405063291,0.6862784810126583,0.579886075949367,-6.832987341772152,0.2001899999999999
30,BRA,0,2002,0,124.61976136363636,0.604090909090909,0.7177727272727273,0.5593068181818182,-6.499795454545454,0.20603
31,BRA,0,2003,0,118.37071428571429,0.6094285714285714,0.7072380952380952,0.5762345238095237,-6.720071428571427,0.21382
